,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
26,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 00:00:00+00:00,pm25,37.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
27,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 01:00:00+00:00,pm25,38.1,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
28,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 02:00:00+00:00,pm25,43.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
29,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 03:00:00+00:00,pm25,40.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
30,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 04:00:00+00:00,pm25,37.6,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
31,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 05:00:00+00:00,pm25,28.1,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
32,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 06:00:00+00:00,pm25,34.1,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
33,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 07:00:00+00:00,pm25,39.2,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
34,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 08:00:00+00:00,pm25,47.1,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
35,US Diplomatic Post: Karachi,Karachi,PK,2016-05-24 09:00:00+00:00,pm25,52.5,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
