,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
26,Toronto Downtown,ONTARIO,CA,2015-01-04 03:00:00+00:00,pm25,20,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
27,Toronto Downtown,ONTARIO,CA,2015-01-04 04:00:00+00:00,pm25,20,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
28,Toronto Downtown,ONTARIO,CA,2015-01-04 05:00:00+00:00,pm25,19,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
29,Toronto Downtown,ONTARIO,CA,2015-01-04 07:00:00+00:00,pm25,24,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
30,Toronto Downtown,ONTARIO,CA,2015-01-04 08:00:00+00:00,pm25,23,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
31,Toronto Downtown,ONTARIO,CA,2015-01-04 09:00:00+00:00,pm25,20,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
32,Toronto Downtown,ONTARIO,CA,2015-01-04 10:00:00+00:00,pm25,16,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
33,Toronto Downtown,ONTARIO,CA,2015-01-04 12:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
34,Toronto Downtown,ONTARIO,CA,2015-01-04 13:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
35,Toronto Downtown,ONTARIO,CA,2015-01-04 18:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
36,Toronto Downtown,ONTARIO,CA,2015-01-04 20:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
37,Toronto Downtown,ONTARIO,CA,2015-01-04 21:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
38,Toronto Downtown,ONTARIO,CA,2015-01-05 00:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
39,Toronto Downtown,ONTARIO,CA,2015-01-05 01:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
40,Toronto Downtown,ONTARIO,CA,2015-01-05 02:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
41,Toronto Downtown,ONTARIO,CA,2015-01-05 03:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
42,Toronto Downtown,ONTARIO,CA,2015-01-05 06:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
43,Toronto Downtown,ONTARIO,CA,2015-01-05 08:00:00+00:00,pm25,2,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
44,Toronto Downtown,ONTARIO,CA,2015-01-05 11:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
45,Toronto Downtown,ONTARIO,CA,2015-01-05 12:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
46,Toronto Downtown,ONTARIO,CA,2015-01-05 13:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
47,Toronto Downtown,ONTARIO,CA,2015-01-05 14:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
48,Toronto Downtown,ONTARIO,CA,2015-01-05 16:00:00+00:00,pm25,8,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
49,Toronto Downtown,ONTARIO,CA,2015-01-05 18:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
50,Toronto Downtown,ONTARIO,CA,2015-01-05 19:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
51,Toronto Downtown,ONTARIO,CA,2015-01-05 20:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
52,Toronto Downtown,ONTARIO,CA,2015-01-06 00:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
53,Toronto Downtown,ONTARIO,CA,2015-01-06 01:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
54,Toronto Downtown,ONTARIO,CA,2015-01-06 02:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
55,Toronto Downtown,ONTARIO,CA,2015-01-06 03:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
56,Toronto Downtown,ONTARIO,CA,2015-01-06 04:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
57,Toronto Downtown,ONTARIO,CA,2015-01-06 06:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
58,Toronto Downtown,ONTARIO,CA,2015-01-06 07:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
59,Toronto Downtown,ONTARIO,CA,2015-01-06 08:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
60,Toronto Downtown,ONTARIO,CA,2015-01-06 09:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
61,Toronto Downtown,ONTARIO,CA,2015-01-06 13:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
62,Toronto Downtown,ONTARIO,CA,2015-01-06 18:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
63,Toronto Downtown,ONTARIO,CA,2015-01-06 19:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
64,Toronto Downtown,ONTARIO,CA,2015-01-06 20:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
65,Toronto Downtown,ONTARIO,CA,2015-01-07 04:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
66,Toronto Downtown,ONTARIO,CA,2015-01-07 05:00:00+00:00,pm25,9,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
67,Toronto Downtown,ONTARIO,CA,2015-01-07 09:00:00+00:00,pm25,10,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
68,Toronto Downtown,ONTARIO,CA,2015-01-07 15:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
69,Toronto Downtown,ONTARIO,CA,2015-01-07 16:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
70,Toronto Downtown,ONTARIO,CA,2015-01-07 17:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
71,Toronto Downtown,ONTARIO,CA,2015-01-09 11:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
72,Toronto Downtown,ONTARIO,CA,2015-01-10 08:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
73,Toronto Downtown,ONTARIO,CA,2015-01-10 16:00:00+00:00,pm25,17,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
74,Toronto Downtown,ONTARIO,CA,2015-01-10 20:00:00+00:00,pm25,17,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
75,Toronto Downtown,ONTARIO,CA,2015-01-10 22:00:00+00:00,pm25,14,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
