,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
22,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:00:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
23,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:30:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
24,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:45:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
25,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:00:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
26,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:15:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
27,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:30:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
28,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 20:00:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
29,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 20:15:00+00:00,pm25,7,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
30,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 20:30:00+00:00,pm25,7,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
31,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 20:45:00+00:00,pm25,7,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
32,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 21:00:00+00:00,pm25,7,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
33,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 21:15:00+00:00,pm25,5,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
34,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 21:30:00+00:00,pm25,5,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
35,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 21:45:00+00:00,pm25,5,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
36,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 22:00:00+00:00,pm25,5,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
37,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 22:15:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
38,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 22:30:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
39,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 22:45:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
40,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 23:00:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
41,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 23:15:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
42,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 23:30:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
43,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 23:45:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
44,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 00:00:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
45,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 00:15:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
46,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 00:30:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
47,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 00:45:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
48,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 01:00:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
49,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 01:15:00+00:00,pm25,15,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
50,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 01:30:00+00:00,pm25,15,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
51,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 01:45:00+00:00,pm25,15,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
52,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 02:00:00+00:00,pm25,15,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
53,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 02:15:00+00:00,pm25,14,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
54,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 02:30:00+00:00,pm25,14,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
55,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 02:45:00+00:00,pm25,14,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
56,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 03:00:00+00:00,pm25,14,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
57,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 03:15:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
58,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 03:30:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
59,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 03:45:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
60,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 04:15:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
61,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 04:45:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
62,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 05:00:00+00:00,pm25,23,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
63,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 05:15:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
64,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 05:30:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
65,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 05:45:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
66,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 06:00:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
67,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 06:15:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
68,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-24 06:45:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
