location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
HU0057A,Csongrád,HU,2019-12-31T03:00:00Z,2019-12-31T04:00:00+01:00,pm25,42.39163,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T02:00:00Z,2019-12-31T03:00:00+01:00,pm25,48.51534,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T01:00:00Z,2019-12-31T02:00:00+01:00,pm25,48.412563,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T00:00:00Z,2019-12-31T01:00:00+01:00,pm25,30.06717,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T23:00:00Z,2019-12-31T00:00:00+01:00,pm25,30.17184,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T22:00:00Z,2019-12-30T23:00:00+01:00,pm25,37.56144,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T21:00:00Z,2019-12-30T22:00:00+01:00,pm25,37.19744,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T20:00:00Z,2019-12-30T21:00:00+01:00,pm25,20.13797,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T19:00:00Z,2019-12-30T20:00:00+01:00,pm25,20.127575,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T18:00:00Z,2019-12-30T19:00:00+01:00,pm25,16.39613,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T17:00:00Z,2019-12-30T18:00:00+01:00,pm25,16.33267,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T16:00:00Z,2019-12-30T17:00:00+01:00,pm25,13.14154,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T15:00:00Z,2019-12-30T16:00:00+01:00,pm25,13.13432,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T14:00:00Z,2019-12-30T15:00:00+01:00,pm25,12.10169,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T13:00:00Z,2019-12-30T14:00:00+01:00,pm25,12.111665,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T12:00:00Z,2019-12-30T13:00:00+01:00,pm25,14.48277,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T11:00:00Z,2019-12-30T12:00:00+01:00,pm25,14.63515,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T10:00:00Z,2019-12-30T11:00:00+01:00,pm25,21.75645,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T09:00:00Z,2019-12-30T10:00:00+01:00,pm25,21.734045,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T08:00:00Z,2019-12-30T09:00:00+01:00,pm25,13.69048,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T07:00:00Z,2019-12-30T08:00:00+01:00,pm25,13.6997,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T06:00:00Z,2019-12-30T07:00:00+01:00,pm25,14.16325,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T05:00:00Z,2019-12-30T06:00:00+01:00,pm25,14.15624,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T04:00:00Z,2019-12-30T05:00:00+01:00,pm25,13.15413,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T03:00:00Z,2019-12-30T04:00:00+01:00,pm25,13.14949,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T02:00:00Z,2019-12-30T03:00:00+01:00,pm25,11.48224,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-30T01:00:00Z,2019-12-30T02:00:00+01:00,pm25,11.457325,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
