Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Pakistan,PAK,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,340.309,371.228,346.88,346.607,402.035,407.926,426.991,313.872,319.796,303.905,332.9572972,297.6835198,286.0756858,292.7608006,204.6231343,183.1773127,175.4744,214.52857,217.534134
Pakistan,PAK,Aquaculture production (metric tons),ER.FSH.AQUA.MT,12485,57632,66970,73047,76653,80621.97,121826,130092,135098,138099,140101,141935,142832,148120,148381,151174,156430,..,..
Peru,PER,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,53.662,117.132,100.417,116,221.044,138.691,112.233,161.576,230.125,256.939,83.58040261,107.179094,122.151244,334.8804857,295.3122654,329.5688173,276.1751,316.825703,313.2646412
Peru,PER,Aquaculture production (metric tons),ER.FSH.AQUA.MT,6596,7551,11532,13621,22114,25981,28393,39531,43120,44317,89021,92200.35,72292.85,125692.9,115271.4,90976.46,100187.2,..,..
Sri Lanka,LKA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,255.708,217.567,203.126,238.009,312.627,310.362,325.413,343.641,331.457,278.998,339.0489194,364.50263,405.42043,385.12,384.7086541,381.6320526,403.075584,398.4734642,436.198
Sri Lanka,LKA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,4420,3610,2651,3462,4003,4304,5652,8233,7474,7548.679,8058.14,11912.22,8839.756,30881.3,34220.3,36037.75,30974.22,..,..
Uganda,UGA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,20.653,21.066,21.277,23.405,26.682,28.55,33.975,30.578,29.544,26.855,0.735263,0.665850655,0.803977562,0.86022,0.670884,0.023472,0.02300256,..,..
Uganda,UGA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,820,2360,4915,5500,5539,10817,32392,51110,52250,76654.1,95000,85712.7,95906,98063,111023,117590,118051.2,..,..
Vietnam,VNM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,117.332,135.363,151.91,164.459,216.527,230.186,216.012,258.488,295.759,311.502,426.91573,475.3856596,503.5503227,497.1798203,450.2200379,384.47024,451.25618,453.34954,481.369979
Vietnam,VNM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,513517,603098,718041,952502,1213617,1452300,1672727,2100400,2477450,2571080,2701317,2859581,3103351,3220071,3354342,3450200,3634531,..,..
Mongolia,MNG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,8.441,7.388,8.184,7.583,6.324,6.069,6.34,5.364,5.927,2.562,3.900821,7.149498128,9.493611238,8.869308,13.21171103,7.843989,8.022033843,8.36736,7.819001
Mongolia,MNG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data from database: Sustainable Development Goals (SDGs),,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2020,,,,,,,,,,,,,,,,,,,,,,
