,Avg
0,136.80645833333332
1,136.33780000000002
2,127.07984166666665
3,172.390625
4,147.46246666666667
5,164.856975
6,147.92855
7,149.0131
8,175.82698333333335
9,148.011
10,176.36619166666665
11,168.86045833333336
12,129.90136666666666
13,130.11369166666665
14,157.74863333333334
15,152.79391666666666
16,167.39851666666667
17,163.87674166666667
18,137.87511666666666
19,132.821825
20,166.89195833333335
21,178.814425
22,178.36919166666667
23,138.34993333333333
24,143.9634
25,165.73848333333333
