,Avg
0,1.6145475000000002
1,1.9705608333333327
2,1.0128233333333332
3,1.0202108333333335
4,1.1068091666666668
5,0.6010758333333329
6,1.7711058333333332
7,1.0295991666666666
8,1.6530499999999997
9,2.388385
10,1.0713900000000003
11,1.7816600000000002
12,1.9509550000000004
13,2.0037274999999997
14,2.118913333333334
15,2.4114058333333332
16,2.0876691666666667
17,2.2070658333333335
18,1.7973325000000002
19,-0.021654166666666825
20,2.567151666666667
21,1.1759616666666666
22,1.9476749999999996
23,2.8501316666666674
24,2.516758333333333
25,2.264043333333333
