Rainfall - (MM), Year, Statistics, Country, ISO3
303.785, 1999, Oct Average, Sri Lanka, LKA
264.591, 1999, Nov Average, Sri Lanka, LKA
180.13, 1999, Dec Average, Sri Lanka, LKA
188.088, 2000, Jan Average, Sri Lanka, LKA
206.303, 2000, Feb Average, Sri Lanka, LKA
90.0532, 2000, Mar Average, Sri Lanka, LKA
96.4688, 2000, Apr Average, Sri Lanka, LKA
55.668, 2000, May Average, Sri Lanka, LKA
68.3132, 2000, Jun Average, Sri Lanka, LKA
12.6149, 2000, Jul Average, Sri Lanka, LKA
188.858, 2000, Aug Average, Sri Lanka, LKA
202.737, 2000, Sep Average, Sri Lanka, LKA
137.706, 2000, Oct Average, Sri Lanka, LKA
240.112, 2000, Nov Average, Sri Lanka, LKA
187.233, 2000, Dec Average, Sri Lanka, LKA
207.315, 2001, Jan Average, Sri Lanka, LKA
63.4219, 2001, Feb Average, Sri Lanka, LKA
13.8331, 2001, Mar Average, Sri Lanka, LKA
245.086, 2001, Apr Average, Sri Lanka, LKA
31.2217, 2001, May Average, Sri Lanka, LKA
94.3483, 2001, Jun Average, Sri Lanka, LKA
57.756, 2001, Jul Average, Sri Lanka, LKA
12.3769, 2001, Aug Average, Sri Lanka, LKA
99.1515, 2001, Sep Average, Sri Lanka, LKA
154.807, 2001, Oct Average, Sri Lanka, LKA
230.328, 2001, Nov Average, Sri Lanka, LKA
229.841, 2001, Dec Average, Sri Lanka, LKA
44.7502, 2002, Jan Average, Sri Lanka, LKA
62.6939, 2002, Feb Average, Sri Lanka, LKA
63.2302, 2002, Mar Average, Sri Lanka, LKA
178.816, 2002, Apr Average, Sri Lanka, LKA
157.285, 2002, May Average, Sri Lanka, LKA
46.7237, 2002, Jun Average, Sri Lanka, LKA
26.2788, 2002, Jul Average, Sri Lanka, LKA
59.8201, 2002, Aug Average, Sri Lanka, LKA
63.7632, 2002, Sep Average, Sri Lanka, LKA
334.047, 2002, Oct Average, Sri Lanka, LKA
335.828, 2002, Nov Average, Sri Lanka, LKA
334.624, 2002, Dec Average, Sri Lanka, LKA
131.341, 2003, Jan Average, Sri Lanka, LKA
89.3675, 2003, Feb Average, Sri Lanka, LKA
118.795, 2003, Mar Average, Sri Lanka, LKA
123.127, 2003, Apr Average, Sri Lanka, LKA
140.582, 2003, May Average, Sri Lanka, LKA
75.4758, 2003, Jun Average, Sri Lanka, LKA
107.898, 2003, Jul Average, Sri Lanka, LKA
81.926, 2003, Aug Average, Sri Lanka, LKA
117.323, 2003, Sep Average, Sri Lanka, LKA
158.514, 2003, Oct Average, Sri Lanka, LKA
447.32, 2003, Nov Average, Sri Lanka, LKA
20.7952, 2003, Dec Average, Sri Lanka, LKA
26.3301, 2004, Jan Average, Sri Lanka, LKA
