Temperature - (Celsius), Year, Statistics, Country, ISO3
27.6127, 1999, Aug Average, Sri Lanka, LKA
27.7981, 1999, Sep Average, Sri Lanka, LKA
26.581, 1999, Oct Average, Sri Lanka, LKA
26.2657, 1999, Nov Average, Sri Lanka, LKA
25.5567, 1999, Dec Average, Sri Lanka, LKA
25.4506, 2000, Jan Average, Sri Lanka, LKA
26.2669, 2000, Feb Average, Sri Lanka, LKA
27.3789, 2000, Mar Average, Sri Lanka, LKA
28.4612, 2000, Apr Average, Sri Lanka, LKA
28.749, 2000, May Average, Sri Lanka, LKA
27.8349, 2000, Jun Average, Sri Lanka, LKA
27.8493, 2000, Jul Average, Sri Lanka, LKA
27.0985, 2000, Aug Average, Sri Lanka, LKA
27.3143, 2000, Sep Average, Sri Lanka, LKA
27.0873, 2000, Oct Average, Sri Lanka, LKA
26.3983, 2000, Nov Average, Sri Lanka, LKA
25.6695, 2000, Dec Average, Sri Lanka, LKA
25.5592, 2001, Jan Average, Sri Lanka, LKA
26.0311, 2001, Feb Average, Sri Lanka, LKA
27.9476, 2001, Mar Average, Sri Lanka, LKA
27.7461, 2001, Apr Average, Sri Lanka, LKA
28.9975, 2001, May Average, Sri Lanka, LKA
27.8534, 2001, Jun Average, Sri Lanka, LKA
27.9794, 2001, Jul Average, Sri Lanka, LKA
27.7406, 2001, Aug Average, Sri Lanka, LKA
27.7925, 2001, Sep Average, Sri Lanka, LKA
27.317, 2001, Oct Average, Sri Lanka, LKA
26.6323, 2001, Nov Average, Sri Lanka, LKA
25.8679, 2001, Dec Average, Sri Lanka, LKA
25.9372, 2002, Jan Average, Sri Lanka, LKA
26.6605, 2002, Feb Average, Sri Lanka, LKA
27.9551, 2002, Mar Average, Sri Lanka, LKA
28.1033, 2002, Apr Average, Sri Lanka, LKA
28.5698, 2002, May Average, Sri Lanka, LKA
28.4583, 2002, Jun Average, Sri Lanka, LKA
28.388, 2002, Jul Average, Sri Lanka, LKA
27.8179, 2002, Aug Average, Sri Lanka, LKA
28.3195, 2002, Sep Average, Sri Lanka, LKA
26.9053, 2002, Oct Average, Sri Lanka, LKA
26.1179, 2002, Nov Average, Sri Lanka, LKA
25.4932, 2002, Dec Average, Sri Lanka, LKA
25.6133, 2003, Jan Average, Sri Lanka, LKA
26.6524, 2003, Feb Average, Sri Lanka, LKA
27.6224, 2003, Mar Average, Sri Lanka, LKA
28.1773, 2003, Apr Average, Sri Lanka, LKA
28.4739, 2003, May Average, Sri Lanka, LKA
28.5343, 2003, Jun Average, Sri Lanka, LKA
27.9961, 2003, Jul Average, Sri Lanka, LKA
27.8883, 2003, Aug Average, Sri Lanka, LKA
28.0215, 2003, Sep Average, Sri Lanka, LKA
27.266, 2003, Oct Average, Sri Lanka, LKA
25.9543, 2003, Nov Average, Sri Lanka, LKA
26.1331, 2003, Dec Average, Sri Lanka, LKA
26.2633, 2004, Jan Average, Sri Lanka, LKA
26.5499, 2004, Feb Average, Sri Lanka, LKA
27.8373, 2004, Mar Average, Sri Lanka, LKA
28.3534, 2004, Apr Average, Sri Lanka, LKA
27.6419, 2004, May Average, Sri Lanka, LKA
27.8563, 2004, Jun Average, Sri Lanka, LKA
27.8068, 2004, Jul Average, Sri Lanka, LKA
28.0779, 2004, Aug Average, Sri Lanka, LKA
26.9339, 2004, Sep Average, Sri Lanka, LKA
26.552, 2004, Oct Average, Sri Lanka, LKA
25.9968, 2004, Nov Average, Sri Lanka, LKA
25.576, 2004, Dec Average, Sri Lanka, LKA
25.8145, 2005, Jan Average, Sri Lanka, LKA
26.8196, 2005, Feb Average, Sri Lanka, LKA
28.0694, 2005, Mar Average, Sri Lanka, LKA
27.6798, 2005, Apr Average, Sri Lanka, LKA
28.4875, 2005, May Average, Sri Lanka, LKA
28.3034, 2005, Jun Average, Sri Lanka, LKA
27.7486, 2005, Jul Average, Sri Lanka, LKA
28.0052, 2005, Aug Average, Sri Lanka, LKA
27.6887, 2005, Sep Average, Sri Lanka, LKA
26.96, 2005, Oct Average, Sri Lanka, LKA
25.4928, 2005, Nov Average, Sri Lanka, LKA
25.5043, 2005, Dec Average, Sri Lanka, LKA
25.0125, 2006, Jan Average, Sri Lanka, LKA
26.2564, 2006, Feb Average, Sri Lanka, LKA
27.6313, 2006, Mar Average, Sri Lanka, LKA
28.3647, 2006, Apr Average, Sri Lanka, LKA
28.2774, 2006, May Average, Sri Lanka, LKA
28.2873, 2006, Jun Average, Sri Lanka, LKA
28.138, 2006, Jul Average, Sri Lanka, LKA
27.4999, 2006, Aug Average, Sri Lanka, LKA
27.5399, 2006, Sep Average, Sri Lanka, LKA
26.8398, 2006, Oct Average, Sri Lanka, LKA
26.2518, 2006, Nov Average, Sri Lanka, LKA
25.9509, 2006, Dec Average, Sri Lanka, LKA
25.7832, 2007, Jan Average, Sri Lanka, LKA
26.5757, 2007, Feb Average, Sri Lanka, LKA
27.5454, 2007, Mar Average, Sri Lanka, LKA
27.9083, 2007, Apr Average, Sri Lanka, LKA
28.6625, 2007, May Average, Sri Lanka, LKA
27.9799, 2007, Jun Average, Sri Lanka, LKA
27.6967, 2007, Jul Average, Sri Lanka, LKA
27.4591, 2007, Aug Average, Sri Lanka, LKA
27.3597, 2007, Sep Average, Sri Lanka, LKA
26.6878, 2007, Oct Average, Sri Lanka, LKA
26.3094, 2007, Nov Average, Sri Lanka, LKA
25.5799, 2007, Dec Average, Sri Lanka, LKA
25.5761, 2008, Jan Average, Sri Lanka, LKA
26.5849, 2008, Feb Average, Sri Lanka, LKA
26.6574, 2008, Mar Average, Sri Lanka, LKA
27.3718, 2008, Apr Average, Sri Lanka, LKA
28.3363, 2008, May Average, Sri Lanka, LKA
27.9641, 2008, Jun Average, Sri Lanka, LKA
27.5868, 2008, Jul Average, Sri Lanka, LKA
27.3165, 2008, Aug Average, Sri Lanka, LKA
27.6339, 2008, Sep Average, Sri Lanka, LKA
27.0472, 2008, Oct Average, Sri Lanka, LKA
26.3136, 2008, Nov Average, Sri Lanka, LKA
25.9432, 2008, Dec Average, Sri Lanka, LKA
25.6476, 2009, Jan Average, Sri Lanka, LKA
26.4386, 2009, Feb Average, Sri Lanka, LKA
27.7928, 2009, Mar Average, Sri Lanka, LKA
28.4075, 2009, Apr Average, Sri Lanka, LKA
28.7107, 2009, May Average, Sri Lanka, LKA
27.9718, 2009, Jun Average, Sri Lanka, LKA
27.9773, 2009, Jul Average, Sri Lanka, LKA
27.9725, 2009, Aug Average, Sri Lanka, LKA
27.5906, 2009, Sep Average, Sri Lanka, LKA
27.3993, 2009, Oct Average, Sri Lanka, LKA
26.5881, 2009, Nov Average, Sri Lanka, LKA
26.2227, 2009, Dec Average, Sri Lanka, LKA
26.2127, 2010, Jan Average, Sri Lanka, LKA
26.9761, 2010, Feb Average, Sri Lanka, LKA
28.5881, 2010, Mar Average, Sri Lanka, LKA
29.0756, 2010, Apr Average, Sri Lanka, LKA
28.675, 2010, May Average, Sri Lanka, LKA
28.2634, 2010, Jun Average, Sri Lanka, LKA
27.8433, 2010, Jul Average, Sri Lanka, LKA
27.8411, 2010, Aug Average, Sri Lanka, LKA
27.6078, 2010, Sep Average, Sri Lanka, LKA
27.5381, 2010, Oct Average, Sri Lanka, LKA
26.4677, 2010, Nov Average, Sri Lanka, LKA
25.5688, 2010, Dec Average, Sri Lanka, LKA
25.4614, 2011, Jan Average, Sri Lanka, LKA
26.228, 2011, Feb Average, Sri Lanka, LKA
27.6595, 2011, Mar Average, Sri Lanka, LKA
27.7273, 2011, Apr Average, Sri Lanka, LKA
28.6011, 2011, May Average, Sri Lanka, LKA
28.565, 2011, Jun Average, Sri Lanka, LKA
28.2023, 2011, Jul Average, Sri Lanka, LKA
27.8835, 2011, Aug Average, Sri Lanka, LKA
27.714, 2011, Sep Average, Sri Lanka, LKA
