Rainfall - (MM), Year, Statistics, Country, ISO3
0, 2000, Jul Average, Bahrain, BHR
0, 2000, Aug Average, Bahrain, BHR
0.01169, 2000, Sep Average, Bahrain, BHR
1.66925, 2000, Oct Average, Bahrain, BHR
12.4101, 2000, Nov Average, Bahrain, BHR
37.4007, 2000, Dec Average, Bahrain, BHR
22.8655, 2001, Jan Average, Bahrain, BHR
1.09637, 2001, Feb Average, Bahrain, BHR
1.4068, 2001, Mar Average, Bahrain, BHR
0, 2001, Apr Average, Bahrain, BHR
0.18818, 2001, May Average, Bahrain, BHR
0.00292, 2001, Jun Average, Bahrain, BHR
0, 2001, Jul Average, Bahrain, BHR
0, 2001, Aug Average, Bahrain, BHR
0.01169, 2001, Sep Average, Bahrain, BHR
0.00116, 2001, Oct Average, Bahrain, BHR
0.28275, 2001, Nov Average, Bahrain, BHR
1.29207, 2001, Dec Average, Bahrain, BHR
33.9733, 2002, Jan Average, Bahrain, BHR
1.41347, 2002, Feb Average, Bahrain, BHR
3.8038, 2002, Mar Average, Bahrain, BHR
7.07072, 2002, Apr Average, Bahrain, BHR
0, 2002, May Average, Bahrain, BHR
0.00292, 2002, Jun Average, Bahrain, BHR
0, 2002, Jul Average, Bahrain, BHR
0, 2002, Aug Average, Bahrain, BHR
0.01169, 2002, Sep Average, Bahrain, BHR
0, 2002, Oct Average, Bahrain, BHR
14.8943, 2002, Nov Average, Bahrain, BHR
18.8909, 2002, Dec Average, Bahrain, BHR
10.9908, 2003, Jan Average, Bahrain, BHR
15.3701, 2003, Feb Average, Bahrain, BHR
11.6732, 2003, Mar Average, Bahrain, BHR
11.8398, 2003, Apr Average, Bahrain, BHR
0.00204, 2003, May Average, Bahrain, BHR
0.00292, 2003, Jun Average, Bahrain, BHR
0, 2003, Jul Average, Bahrain, BHR
0.01169, 2003, Aug Average, Bahrain, BHR
0.01169, 2003, Sep Average, Bahrain, BHR
0, 2003, Oct Average, Bahrain, BHR
1.99844, 2003, Nov Average, Bahrain, BHR
21.5758, 2003, Dec Average, Bahrain, BHR
26.6616, 2004, Jan Average, Bahrain, BHR
0.3898, 2004, Feb Average, Bahrain, BHR
