Temperature - (Celsius), Year, Statistics, Country, ISO3
3.51479, 2000, Apr Average, Mongolia, MNG
12.0555, 2000, May Average, Mongolia, MNG
17.8302, 2000, Jun Average, Mongolia, MNG
19.7424, 2000, Jul Average, Mongolia, MNG
16.3634, 2000, Aug Average, Mongolia, MNG
11.4367, 2000, Sep Average, Mongolia, MNG
-1.4777, 2000, Oct Average, Mongolia, MNG
-13.678, 2000, Nov Average, Mongolia, MNG
-16.299, 2000, Dec Average, Mongolia, MNG
-21.387, 2001, Jan Average, Mongolia, MNG
-15.984, 2001, Feb Average, Mongolia, MNG
-8.0795, 2001, Mar Average, Mongolia, MNG
2.99559, 2001, Apr Average, Mongolia, MNG
10.387, 2001, May Average, Mongolia, MNG
17.0107, 2001, Jun Average, Mongolia, MNG
18.4631, 2001, Jul Average, Mongolia, MNG
17.0233, 2001, Aug Average, Mongolia, MNG
11.0469, 2001, Sep Average, Mongolia, MNG
2.56455, 2001, Oct Average, Mongolia, MNG
-8.2046, 2001, Nov Average, Mongolia, MNG
-19.816, 2001, Dec Average, Mongolia, MNG
-16.315, 2002, Jan Average, Mongolia, MNG
-12.855, 2002, Feb Average, Mongolia, MNG
-5.6299, 2002, Mar Average, Mongolia, MNG
2.01398, 2002, Apr Average, Mongolia, MNG
11.2248, 2002, May Average, Mongolia, MNG
17.5483, 2002, Jun Average, Mongolia, MNG
20.3694, 2002, Jul Average, Mongolia, MNG
16.5076, 2002, Aug Average, Mongolia, MNG
10.8289, 2002, Sep Average, Mongolia, MNG
-0.7154, 2002, Oct Average, Mongolia, MNG
-10.856, 2002, Nov Average, Mongolia, MNG
-20.005, 2002, Dec Average, Mongolia, MNG
-19.268, 2003, Jan Average, Mongolia, MNG
-15.514, 2003, Feb Average, Mongolia, MNG
-8.7286, 2003, Mar Average, Mongolia, MNG
2.65542, 2003, Apr Average, Mongolia, MNG
9.81843, 2003, May Average, Mongolia, MNG
16.6057, 2003, Jun Average, Mongolia, MNG
17.6145, 2003, Jul Average, Mongolia, MNG
14.7758, 2003, Aug Average, Mongolia, MNG
10.8541, 2003, Sep Average, Mongolia, MNG
1.55809, 2003, Oct Average, Mongolia, MNG
-11.846, 2003, Nov Average, Mongolia, MNG
-17.777, 2003, Dec Average, Mongolia, MNG
-19.086, 2004, Jan Average, Mongolia, MNG
-12.587, 2004, Feb Average, Mongolia, MNG
-8.1402, 2004, Mar Average, Mongolia, MNG
5.61604, 2004, Apr Average, Mongolia, MNG
11.0395, 2004, May Average, Mongolia, MNG
17.1753, 2004, Jun Average, Mongolia, MNG
19.0258, 2004, Jul Average, Mongolia, MNG
16.1406, 2004, Aug Average, Mongolia, MNG
9.64158, 2004, Sep Average, Mongolia, MNG
1.98163, 2004, Oct Average, Mongolia, MNG
-8.7825, 2004, Nov Average, Mongolia, MNG
-16.906, 2004, Dec Average, Mongolia, MNG
-22.503, 2005, Jan Average, Mongolia, MNG
-24.093, 2005, Feb Average, Mongolia, MNG
-8.1384, 2005, Mar Average, Mongolia, MNG
3.77994, 2005, Apr Average, Mongolia, MNG
9.4613, 2005, May Average, Mongolia, MNG
16.4551, 2005, Jun Average, Mongolia, MNG
19.5725, 2005, Jul Average, Mongolia, MNG
17.5124, 2005, Aug Average, Mongolia, MNG
10.4751, 2005, Sep Average, Mongolia, MNG
2.8363, 2005, Oct Average, Mongolia, MNG
-7.7963, 2005, Nov Average, Mongolia, MNG
-19.833, 2005, Dec Average, Mongolia, MNG
-19.347, 2006, Jan Average, Mongolia, MNG
-15.85, 2006, Feb Average, Mongolia, MNG
-6.2155, 2006, Mar Average, Mongolia, MNG
1.33526, 2006, Apr Average, Mongolia, MNG
8.97437, 2006, May Average, Mongolia, MNG
15.6048, 2006, Jun Average, Mongolia, MNG
18.1831, 2006, Jul Average, Mongolia, MNG
17.3941, 2006, Aug Average, Mongolia, MNG
11.1501, 2006, Sep Average, Mongolia, MNG
3.36305, 2006, Oct Average, Mongolia, MNG
-7.0915, 2006, Nov Average, Mongolia, MNG
-15.711, 2006, Dec Average, Mongolia, MNG
-17.998, 2007, Jan Average, Mongolia, MNG
-10.162, 2007, Feb Average, Mongolia, MNG
-6.3629, 2007, Mar Average, Mongolia, MNG
4.08035, 2007, Apr Average, Mongolia, MNG
11.9633, 2007, May Average, Mongolia, MNG
17.8066, 2007, Jun Average, Mongolia, MNG
20.6087, 2007, Jul Average, Mongolia, MNG
17.8726, 2007, Aug Average, Mongolia, MNG
12.0545, 2007, Sep Average, Mongolia, MNG
0.60553, 2007, Oct Average, Mongolia, MNG
-7.9198, 2007, Nov Average, Mongolia, MNG
-16.349, 2007, Dec Average, Mongolia, MNG
-23.237, 2008, Jan Average, Mongolia, MNG
-17.753, 2008, Feb Average, Mongolia, MNG
-3.3264, 2008, Mar Average, Mongolia, MNG
4.83486, 2008, Apr Average, Mongolia, MNG
9.44782, 2008, May Average, Mongolia, MNG
16.5053, 2008, Jun Average, Mongolia, MNG
19.5454, 2008, Jul Average, Mongolia, MNG
17.5069, 2008, Aug Average, Mongolia, MNG
11.1379, 2008, Sep Average, Mongolia, MNG
2.56743, 2008, Oct Average, Mongolia, MNG
-6.5396, 2008, Nov Average, Mongolia, MNG
-16.444, 2008, Dec Average, Mongolia, MNG
-19.534, 2009, Jan Average, Mongolia, MNG
-15.346, 2009, Feb Average, Mongolia, MNG
-7.0007, 2009, Mar Average, Mongolia, MNG
6.33426, 2009, Apr Average, Mongolia, MNG
11.8957, 2009, May Average, Mongolia, MNG
15.4129, 2009, Jun Average, Mongolia, MNG
18.7661, 2009, Jul Average, Mongolia, MNG
16.6095, 2009, Aug Average, Mongolia, MNG
